JP	KR
「あんまり気負うな、もらった分だけ仕事すりゃいいんだ。山賊より簡単だろ？」	"많이 분발하다 말고 받은 만큼 일하고 좋아.산적보다 간단하잖아?"
「確かに山賊になるよりはマシっすけど……」	"확실히 산적이 되기보다는 덜한데요..."
　捕まって縛り首になるよりはマシだと思って山賊ではなく傭兵にしたのだが、黒狼卿のいる魔都リューンハイトに攻め込むぐらいなら山賊のほうがマシだったかもしれない。	붙잡혀서 교수형이 되기보다는 낫다고 생각하고 산적이 아니라 용병으로 했는데 흑랑 추기경의 있는 마도 류ー은 하이트에 쳐들어가다 정도면 산적이 낫이었는지도 모른다.
　そんなことを思う若い傭兵だった。	그런 것을 생각하는 젊은 용병이었다.
　古参の傭兵は素早く、だが決して息切れしない程度に歩きながら若い傭兵の背中を叩く。	고참 용병은 재빨리 그러나 결코 숨이 가쁘지 않을 정도로 걸으며 젊은 용병의 등을 두드린다.
「しっかりしろ。あの皇女さんが勝てば、褒美はたんまりもらえるぞ」	"확실히 해라.그 왕녀 씨가 이기면 상은 듬뿍 주겠다"
「負けたら？」	" 진다면?"
「次の戦で勝てばいい。あの皇女さんに次はないだろうが、俺たちゃ関係な……」	"다음 전쟁에서 이기면 좋다.그 왕녀에게 다음은 없겠지만, 나 가는 관계야……"
　古参の傭兵が、ふと首を傾げて立ち止まった。	고참 용병들이 문득 고개를 갸웃하고 멈춰섰다.
　若い傭兵も立ち止まり、周囲の傭兵たちも立ち止まる。	젊은 용병도 멈춰서고 주위의 용병들도 멈추어 선다.
　古参の傭兵がつぶやく。	고참 용병들이 중얼거린다.
「今、なんか聞こえたぞ」	"지금 뭔가 들렸다."
　一同が耳を澄ませると、遠くから太鼓の音が聞こえてきた。	일동이 귀을 맑게 하면 멀리서 북 소리가 들렸다.
「おい、これ……」	"야, 이거……"
「間違いない、ロッツォのクソ行進曲だ」	"틀림없이 롯츠오라는 행진곡이다"
　たちまち傭兵たちの動きが止まり、彼らは剣を鞘に納め、弓や盾を背負う。帰り支度だ。	순식간에 용병들의 움직임을 멈추고 그들은 검을 칼집에 넣고 활과 방패를 짊어진다.돌아갈 채비다.
「もう来やがったよ……割のいい仕事だったのに」	"벌써 왔는걸요...짭짤한 일이었는데"
「おい誰だ、ペトーレのクソ爺にチクッたのは？」	"이봐 누구야, 페토ー레라 영감에 치쿳 것은?"
「知らねえよ、どうせディーゴんとこだろ」	" 알겠어, 어차피 디ー고 있는 데잖아"
「ウチじゃねえよ!?」	"나 아니야!?"
　帰り支度を始めた傭兵たちに、若い傭兵は戸惑う。	돌아갈 채비를 시작한 용병들에게 젊은 용병은 당황한다.
「帰っちゃうんすか？　ロッツォって南部の漁港でしょ？　なんで？」	" 돌아갈 거예요?롯츠오는 남부의 어항죠?왜?"
　すると古参の傭兵が彼の肩に手を置いて、息子に言い聞かせる父親のように告げた。	한다고 고참 용병들이 그의 어깨에 손을 얹고 아들에게 타이르다 아버지처럼 말했다.
「いいか、ミラルディアで傭兵稼業を続けたかったら、ロッツォの軍旗にだけは逆らうな」	" 괜찮은가, 미라 루디아에서 용병 노릇을 계속하고 싶다면 롯츠오의 군기만 거스르지 마라"
「どういうことっすか!?」	"무슨 말요?"
　他の傭兵たちが、口々に答える。	다른 용병들이 제각기 대답한다.
「あの爺に睨まれたら、ミラルディアじゃ傭兵できなくなるぞ。おっそろしく執念深いからな」	"그 영감에 노려보고 있으면 미라 루디아는 용병할 수 없게 된다.있으며 그것밖에 집념 깊으니까"
「あいつ、こっちの契約なんかお構いなしだ。まじクソ爺だぜ」	"저 녀석, 이쪽의 계약은 대접이 소홀하다.정말 빌어먹을 영감이라구"
「でも待遇はいいんだよな、ロッツォ」	"이라도 대우는 좋아?롯츠오"
「元老院もあのお姫さんももうダメっぽいし、次はロッツォの交易商組合かな……お前どうする？」	"원로원도 그 공주님도 이제는 되어 버리고 다음은 롯츠오의 교역상 조합까...너 어떡하지?"
「そうだな、久しぶりに埠頭倉庫の番人でもやるか」	"그래, 오랜만에 부두 창고 지기라도 하나"
　若い傭兵はまだ少し迷いがある様子で、古参兵に尋ねる。	젊은 용병은 아직 조금 망설여모습에서 고참병에게 묻는다.
「でもロッツォ軍は外でしょ？　リューンハイトに突入したら関係なくないっすか？　ちゃんと契約守ったほうが……」	"에서도 롯츠오 군은 밖이지?류ー은 하이트에 돌입하자 관계 없나요?잘 계약 지키는 것이……"
　古参の傭兵は溜息をつく。	고참 용병은 한숨을 쉬다.
「ロッツォ軍がリューンハイトに突入してきたら、市内で挟み撃ちにされるぞ。それにな」	"롯츠오군이 류ー은 하이트에 돌입하면 시내에서 협공한다.그것 말이야~"
　彼はリューンハイトの城壁を指さした。	그는 류ー은 하이트의 성벽을 가리킨.
「あそこになんか見えるだろ？」	"저기에 보이지?"
「えー……あ、はい。旗？　真っ赤でボロボロっすね」	"에……아, 네.깃발? 새빨가며 너덜너덜하네요 "
　リューンハイトの城壁に、爪で引き裂かれたような赤い旗が翻っている。	류ー은 하이트의 성벽에 손톱으로 찢긴 듯한 붉은 깃발이 나부끼고 있다.
「坊主、あれも覚えとけ。『爪のウォッド』の血染め旗だ」	"중, 저것도 기억했던 둬.『 손톱 우오쯔도 』의 피로 물든 깃발이다"
「爪のウォッド？」	"손톱 우오쯔도?"
　古参の傭兵はどこか懐かしむような口調で、こう続ける。	고참 용병은 어딘가 그리워하는 듯한 어조로 이렇게 계속한다.
「伝説の傭兵だよ。隠し武器の達人でな、丸腰にしか見えないのに、えげつない凶器で敵を切り刻む男さ。まだ生きてやがったのか」	"전설의 용병이야! 숨겨무기의 달인이야, 맨주먹밖에 안 보이는데, 잔인한 흉기로 적을 다진 남자야.아직 살아 버린 것?"
　すると他の傭兵たちも旗を見つめる。	그러자 다른 용병들도 깃발을 쳐다본다.
「別名が『切り裂きウォッド』とか、『血塗れウォッド』とか、とにかく血ち腥なまぐさいんだよな」	"별명이 『 발기우오쯔도 』거나 『 피투성이 우오쯔도 』, 어쨌든 피 같아 비린내가 나다 나마그사이어"
「ああ、おまけに戦ってるところは味方にも見せないって聞いたな。秘密の暗殺術を使うんだとか」	"아, 게다가 싸우고 있는 곳은 아군으로도 보이지 않다고 들었네.비밀 암살 방법을 사용이라고"
「そして戦った相手は必ず殺してるから、どんな武器をどう使って殺してるのか、誰も知らないのさ」	"그리고 싸운 상대는 반드시 죽이고 있어서 어떤 무기를 어떻게 사용하고 죽이는 건지 아무도 모르는 거야"
　古参の傭兵たちから語られる、恐るべき伝説の数々。	고참 용병들에서 이야기하는 무서운 전설들이다.
　若い傭兵は恐々といった感じで、こう尋ねた。	젊은 용병은 불라며 이렇게 물었다.
「ほんとに本物っすか？」	"정말 진짜예요?"
「確かめるぐらいなら俺は逃げるね。俺はあいつが盗賊の砦に一人で乗り込んで、十六人全員をバラバラにしちまったのを知ってるからな」	"확인하느니 나는 피하는구료.나는 그 녀석이 도적의 보루가 혼자 타고 열 여섯명 전원을 토막내는 버린 것을 알고 있으니까"
「……まじで？」	"……진짜?"
　怯える新米傭兵の肩をポンポン叩いて、古参の傭兵は笑った。	겁먹은 햅쌀 용병의 어깨를 팍팍 때리고, 고참 용병은 웃었다.
「ほれ、行くぞ。お前の面倒ぐらい俺がみてやる。ついてこい」	"거봐,, 간다. 너의 뒤치다꺼리 정도 내가 봐야겠어.따라온다"
「あ、はい」	"아, 네"
　傭兵たちが戦場を離脱していく。	용병들이 전장을 이탈한다.
　慌てたのは東門の攻略を担当していたロルムンド兵たちだ。	당황한 것은 동문의 공략을 담당했던 롤뭉도병들이다.
「お、おい待て！　契約と違うぞ！」	"오, 어이 있습니다 계약이 아니라고!"
　だが傭兵隊長たちは首を横に振った。	하지만 용병 대장들은 고개를 가로 저었다.
「すまん、契約違反は謝る。だが俺たちはミラルディアの傭兵なんでな。ミラルディアで暮らしていけなくなるのは困るんだ」	"미안, 계약 위반은 사과. 그러나 우리는 미랄디아의 용병 거든.미랄디아에서 살고 못 갈 것은 곤란하구나"
　傭兵たちの理屈に、ロルムンド兵たちは激怒する。	용병들의 논리에 롤뭉도병들은 격노하다.
「ここで逃げるぐらいなら、最初から来るんじゃねえよ！」	"여기서 도망 가느니 아예 오지 않아!"
「まったくだ」	"정말 그렇다"
　傭兵隊長の一人が苦笑し、指をパチンと鳴らす。	용병 대장의 한 사람이 쓴웃음 하고 손가락을 딱 울리다.
　周囲に展開していた傭兵たちが一斉にクロスボウを構えた。	주위에서 전개되고 있던 용병들이 일제히 석궁을 차렸다.
「なっ!?」	"뭐!?"
　驚いて立ちすくむロルムンド兵たちに、傭兵隊長が笑う。	놀라서 잠깐 롤뭉도병들에게 용병 대장이 웃는다.
「俺たちはあんたらをここで始末して、その首を南部連邦に売り込むこともできる」	"우리는 당신들을 여기서 마무리하고 그 목을 남부 연방에 파는 것도 있다"
　別の隊長が続けた。	다른 대장이 계속했다.
「だがもちろん、そんなことはしない。それに契約金には違約金をつけて返す。それで勘弁してくれ」	" 하지만 물론 그런 일은 하지 않는다. 그것에 계약금에는 위약금을 붙여서 갚다.그래서 봐주시게나"
　勘弁するもなにも、これ以上文句を言うなら殺すと言われているのだ。	용서해도 아무것도 더 이상 불평을 말한다면 죽인다고 말하고 있다.
　数名しかいないロルムンド兵たちは、黙るしかなかった。	몇명밖에 없롤뭉도병들은 침묵밖에 없었다.
「勝手にしろ、卑怯者どもが！」	"마음대로 해라, 비겁자들이!"
「そりゃあ俺たちはミラルディアの傭兵だからな！　あばよ、ロルムンド人ども！」	"그건 우리들은 미랄디아의 용병이니까!안녕, 롤뭉도 사람들!"
　傭兵隊長たちが笑い、馬にまたがって去っていく。	용병 대장들이 웃고 말에 걸터앉아 떠난다.
　その頃、リューンハイトから少し離れた丘の上に遊牧民たちの騎馬隊が控えていた。	그 무렵 류ー은 하이트에서 조금 떨어진 언덕 위에 유목민들의 기마대가 대기하고 있었다.
「太鼓はもういい。傭兵たちが退却を始めた」	"북은 그만 됐어.용병들이 퇴각을 시작했다"
　見張りの男がそう言うと、一団は演奏を中断した。	문지기의 남자가 그렇게 말하면 일단은 연주를 중단했다.
「これでいいのか？　アラム殿の頼みなら、一晩でも続けてみせるが」	"이것 말이냐?아람님의 부탁이면 하룻밤에서도 계속 보이지만"
「いや、もう大丈夫そうだ。ロッツォの軍旗も全部片づけておけ。ペトーレのクソ爺からの借り物だ。汚すとうるさい」	"아니, 이제 괜찮은 것 같다. 롯츠오의 군기도 다 치운다. 페토ー레라 영감의 임대이다.더럽히면 시끄럽다"
　彼らはシャルディール太守アラムに頼まれ、ロッツォ軍のふりをして傭兵たちを退却させたのだ。	그들은 샤르 디는 태수 알람의 부탁을 받고 롯츠오군인 체하고 용병들을 퇴각시킨 것이다.
「これで街に移った若い連中も、良くしてもらえるだろう。アラム殿は義理堅い」	"이것으로 거리에 옮긴 젊은 패들도 좋게 할 것이다.아람전은 의로운 "
「ああ、そうだな。さあ報告に帰ろう。義理堅いアラム殿が羊の肉を食わせてくださるぞ」	"아, 그래. 자 보고에 돌아간다.의로운 아람전이 양 고기를 먹이세요."
　砂漠の遊牧民たちは傭兵の退却を見届けると、馬を駆って戦場から姿を消した。	사막의 유목민들은 용병의 퇴각을 지켜보겠다고 말을 몰고 전장에서 사라졌다.
　　　　＊　　　　　　＊	＊ ＊
　俺は気絶させたロルムンド兵の女の子を、ベルーザ陸戦隊に預ける。	나는 혼절시킨 롤뭉도병의 여자 아이를 벨ー자 육전대에 맡기다.
「すまん、捕虜たちの保護と監視を頼む」	"미안, 포로들의 보호와 감시를 부탁"
「任せてください、ヴァイトの旦那！　おい、水と布もってこい！」	" 맡기세요, 우아이토의 남편!어이, 물과 천으로 오너라!"
「おう、こりゃ毛布もいるな」	"어, 이건 담요도 있구나"
　鉄の規律できびきびと動く凶悪なモヒカンたち。	철의 규율로 시원시원하게 움직이는 흉악한 모히칸들.
　ちょっと見栄っ張りのガーシュが、わざわざ送り込んでくるだけのことはあるな。	좀 허풍 가슈가 일부러 보내고 오는 것이 있구나.
　俺は敵の生存者を治療した上で、彼らを捕虜として扱うことにした。	나는 적의 생존자를 치료하고 그들을 포로로 다루기로 했다.
　この調子でバンバン捕まえていくぞ。	이런 식으로 빵빵 잡고 갈께.
　お前ら全員人質にしてやる。	너희들 모두 인질로 잡다.
　敵から奪い取った通信用の指輪を掌でもてあそびながら、俺は笑った。	적에게서 빼앗은 통신용 반지를 손바닥으로 추근대며 나는 웃었다.
「隊長、またヤツです！　黒い人狼！」	"대장, 또 녀석입니다! 검은 늑대 인간!"
「接近戦に持ち込まれるな！」	"접근전에 반입되지 마라!"
　俺は敵の通信を傍受し、「第三軽騎小隊」を追い込んでいた。	나는 적의 통신을 감청하고"셋째 경기 소대"를 몰고 있었다.
　例の鳥みたいなのに乗った連中だ。ちょこまかと走り回る彼らにはベルーザ兵たちも苦戦していたようだが、俺が通信を傍受して先回りしている。	그 새 같은 것에 탄 사람들이다.부산하게 뛰어다니는 그들에게는 벨ー자병들도 고전하던 것 같은데, 내가 통신을 감청하고 제공하고 있다.
　ほらきたぞ。	자 왔어.
「なんだこいつ！　なぜ倒れない!?」	"뭐야 이 녀석!왜 쓰러지지 않아!?"
「撃て！　撃ちまくれ！」	" 쏜다! 쏴마크레!"
　光の弾がびしばしと飛んでくる。	빛의 총알이 비시바시으로 날아온다.
　流れ弾が家屋や味方に当たると困るので、俺は手をかざした。	유탄이 가옥이나 편에 맞으면 곤란하니까, 나는 손을 댔다.
　頭の中で「渦」をイメージすると、俺の掌に光弾が吸い寄せられていく。もちろん俺は何ひとつダメージを受けず、代わりに魔力を回復していた。	머릿속에서 "소용돌이"를 떠올리면 내 손바닥에 광탄이 빨려 들고 있다.물론 나는 아무 타격을 받지 않고 대신에 마력을 회복했다.
　やはりこれは、師匠の能力の一部だ。	역시 이것은 스승의 능력의 일부이다.
　学術的な興味が湧いてくるが、今は目の前の敵を無力化しよう。	학술적인 흥미가 솟아 오지만 지금은 눈앞의 적을 무력화한다.
　俺は贅沢に強化魔法を使用し、限界まで加速した。普段はこんな加速をすると燃費が悪すぎるのだが、今は敵が魔力を回復してくれる。	나는 사치에 강화 마법을 사용하는 한계까지 가속했다.평소에는 이런 가속을 하면 연비가 떨어지는 것이지만, 지금은 적이 마력을 회복한다.
「ヤツが消えた!?」	"녀석이 사라졌어!?"
　消えてないよ。	사라지지 않아.
　お前の背後にいるだけだ。	너의 배후에 있을 뿐이다.
　さっきの少女兵士の件で、ロルムンド兵が素直に投降しないのはわかっている。	아까 소녀 병사의 건으로, 롤뭉도병이 순순히 투항하지 않는 것은 알고 있다.
　だから俺は敵のど真ん中に飛び込み、全力で吠えた。	그래서 나는 적의 한복판에 뛰어들어 힘껏 포효했다.
　俺の唯一最大のオリジナル技、「ソウルシェイカー」だ。	나의 유일하게 최대의 오리지널 기술,"서울 셰이커"이다.
　だが今回は魔力がみなぎりすぎているせいか、威力が桁違いだった。	하지만 이번에는 마력이 넘치는아서 그런지, 위력이 월등했다.
「うわっ!?」	"우왓!?"
「ぐっ！」	"푹!"
「ぬあっ！」	"누 아!"
　ロルムンド兵がまとめて吹っ飛び、騎乗していた鳥ごと気絶する。	롤뭉도들이 한꺼번에 날아가고 승마했던 새들 기절하다.
　周囲の建物がびりびりと震え、窓ガラスが全部粉々に砕けた。	주위의 건물이 드르르 떨며 유리창이 다 산산조각으로 부서졌다.
　俺が街を壊してどうするんだ。	내가 거리를 부수어서 어떡하니.
　だが全員気絶したのに、どこからか声が聞こえる。	하지만 모두 기절한 데 어디선가 목소리가 들린다.
『……えるか!?　退却許可を出す、ただちに撤退しろ！』	『...수 있을까!?퇴각 허가를 내고 즉각 철수하라!』
　エレオラ皇女の声だ。通信機からだな。	에레 오라 왕녀의 목소리다.통신기에서이야.
　俺は通信用の指輪に、こう告げた。	나는 통신용 반지에 이렇게 말했다.
「第三軽騎小隊は全滅した。次はお前の番だ、エレオラ皇女殿下」	"셋째 경기 소대는 전멸했다.다음은 너의 차례다, 에레오란 왕녀 전하"
『貴様は黒狼卿!?』	『 네놈은 흑랑 경!?』
　驚く彼女の声に、俺は笑い声を浴びせる。	놀라게 그녀의 목소리에 나는 웃음 소리를 퍼붓다.
「さあ、どこまでも逃げるがいい。人狼の狩りを盛り上げてくれ」	"자, 어디까지나 도망이 좋다.늑대 인간의 사냥을 북돋아 주었다"
　返事を待たずに俺は通信を切った。	대답를 기다리지 않고 나는 통신을 끊었다.
　今のはもちろん、エレオラ皇女の性格を逆手に取った挑発だ。	지금 것은 물론 에레오란 왕녀의 성격을 역수로 취한 도발이다.
　彼女は部下を何よりも大事にしている。少し過剰なほどだ。	그녀는 부하를 무엇보다 소중히 여겼다.조금 지나친 정도다.
　その部下を大量に失って、リューンハイトへの攻撃も失敗しつつある。	그 부하들을 대량으로 잃고 류ー은 하이트에 대한 공격도 실패하고 있다.
　そこに敵から「逃げろ」と言われたら、彼女はどうするか。	거기에 적으로부터 " 달아났다"라고 말했다면, 그녀는 어떻게 할까.
　たぶん逃げないだろう。	아마 도망 가지 않을 것이다.
　普段の彼女には挑発など通用しないだろうが、今ならいけると思う。	평소의 그녀는 도발 등 통용되지 않겠지만, 지금은 안 된다고 생각한다.
　リューンハイト新市街の西側では、組織的な戦闘はほぼ終わったようだ。	류ー은 하이트 싱시가의 서쪽에서는 조직적인 전투는 거의 끝난 것 같다.
　東門にはなぜか敵が来ていないそうだし、勇猛で鳴らす竜人の騎兵たちもいる。	동문에는 왠지 적이 오지 않다고 하고, 용맹에서 울리는 용인 기병들도 있다.
　最初の攻勢はなんとかしのげたと思う。	최초의 공세는 그럭저럭 견딜 수 있었다고 생각한다.
　すでに各都市には伝令を飛ばしている。夜が明ける頃には、周辺の都市から援軍が到着するだろう。	이미 각 도시에는 전령을 날리고 있다.동이 틀 무렵에는 주변 도시에서 원군이 도착할 것이다.
　そうなるとエレオラ皇女もさすがに逃げるだろう。	그러면 에레오란 왕녀도 역시 도망 갈 것.
　進入してきた敵は二十人ずつの小隊で、確認できた限りでは第二小隊から第五小隊までいた。「第一小隊」は確認できていない。	진입한 적은 스무명씩의 소대에서 확인한 한에서는 두번째 소대에서 다섯번째 소대까지 있었다."제일 소대"는 확인할 수 없다.
　俺は城門を飛び出し、西の森に近づく。	나는 성문을 나오고 서쪽 숲에 다가가다.
　今の俺の知覚は魔法で強化されていて、かなり広範囲の魔力を感じられる。	지금의 나의 지각은 마법에서 강화되고 있어 상당히 광범위한 마력을 느낀다.
　魔撃兵器を使う彼らは、一般人よりも魔力が強い。それが二十人ほどいるのなら、追跡は簡単だ。	마귀 공격 무기를 사용하는 그들은 일반인보다 마력이 강하다.그게 스무명 정도 있다면, 추적은 간단하다.
　魔撃杖を警戒する必要はないが、精鋭二十人が待ち伏せしている森の中に入るのは緊張する。	마격 지팡이를 경계할 필요는 없지만, 정예 스무명이 매복하는 숲 안에 들어오는 것은 긴장한다.
　でも俺一人だから何とかなるだろう。	그래도 나 혼자라서 어떻게 되겠지.
　そしてエレオラ皇女は案の定、すぐに見つかった。	그리고 에레 오라 왕녀는 아니나 다를까 금방 찾았다.
　森の中の少し開けた場所に、たった一人でエレオラ皇女が岩に腰掛けている。	숲속 조금 트인 장소에 홀로 에레오라 아들이 바위에 앉아 있다.
　周囲には多数の殺気。……というか多人数の魔力。茂みや樹の上に、全部で十八人いるな。	주위에는 다수의 살기.……라고 할까 많은 사람의 마력.수풀과 나무 위에 모두 열여덟명 있구나.
　俺は警戒しつつ、エレオラに向かってまっすぐ歩いていく。	나는 경계하면서도 엘레 내를 향해서 쭉 걸어간다.
「エレオラ。兵を隠しても無駄だぞ」	"에레 오라.군사를 숨겨도 소용없겠다"
　すると彼女は苦笑してみせる。	그러자 그녀는 고소하겠다.
「やはりわかるか？」	"역시 알겠는가?"
「息を止めて土と同じ匂いにでもならない限り、俺の知覚からは逃れられん」	"숨을 멈추고 흙과 같은 냄새도 하지 않는 한 나의 지각에서 벗어날 수 없는 "
　エレオラはびっくりするほど穏やかな表情で、俺を見つめている。	에레 오라는 놀라울 정도로 온화한 표정으로 나를 바라보고 있다.
「どうした、私を殺さないのか？」	"왜 그래, 나를 죽이지 않는가?"
「さて、どうしたものかな……」	"자, 어찌 된 걸까..."
　殺すだけならいつでもできるが、皇女を殺すとやっかいなんだよな。	죽이면 언제든 할 수 있지만, 왕녀를 죽이면 귀찮은 거지.
　するとエレオラは意地の悪い表情を浮かべた。	그러자 엘레 오라는 짓궂은 표정을 지었다.
「殺すつもりがないのなら、なぜ降伏勧告をしないのか？」	" 죽일 생각이 없다면 왜 항복 권고를 하지 않는가?"
　俺は笑う。	나는 웃는다.
「降伏する気がない者に、いちいちそんな無駄なことはせんよ」	"항복할 생각이 없는 자에게 일일이 그런 쓸데없는 짓은 하네"
　さっきの少女兵士は、俺に勝てないと思った瞬間に躊躇なく自害しようとした。	아까 소녀 병사는 내가 이길 수 없다고 생각하는 순간 주저 없이 자해하려 했다.
　おそらくロルムンド軍では、捕虜になることを禁じられているのだ。それが徹底されている。	아마 롤뭉도군에서는 포로가 되는 것을 금하고 있는 것이다.그것이 철저되고 있다.
　だったら皇女であるエレオラが降伏するはずがない。	그럼 황녀인 에레오라이 항복할 리 없다.
　案の定、エレオラはうなずく。	아니나 다를까, 에레 오라는 고개를 끄덕였다.
「皇女といっても、いや、皇女だからこそ、私には何の選択権もない。貴殿の予想通り、私は降伏せんぞ」	"왕녀라고 해도, 아니 왕녀 그러니까 저에게는 아무 선택권도 없다.귀하의 예상대로 나는 항복하지 마."
「ならば力ずくで身柄を拘束させていただこう。自害する暇もなく、な」	" 그렇다면 우격다짐으로 구속한다.자해할 시간도 없다, 그치"
　俺の言葉にエレオラはあきらめたような表情を見せた。	내 말에 에레 오라는 포기한 듯한 표정을 보였다.
「やはり私に選択権はないか」	"역시 나에게 선택권은 아닌가"
　彼女は魔撃書とサーベルを捨て、丸腰で立ち上がった。	그녀는 마귀 공격서와 칼을 버리고 맨주먹으로 일어섰다.
　それから俺にゆっくり近づいてくる。	그리고 나에게 천천히 다가온다.
「黒狼卿」	"흑 랑경"
「なんだ」	"뭐야"
「貴殿には負けたよ。完敗だ」	"당신에게는 못 당하겠다.완패했다"
　敗北を認めたせいか、エレオラは妙にさばさばとした表情だ。	패배를 인정한 탓인지, 에레 오라는 묘하게 시원시원한 표정이다.
　彼女はこう続ける。	그녀는 이렇게 계속한다.
「貴殿も私も同じ侵略者だ。だがどうやら、器が違ったらしい」	"귀하도 저도 같은 침략자이지만 아무래도 그릇이 다른 것 같다"
　俺は首を横に振った。	나는 고개를 가로 저었다.
「そうじゃない。俺が幸運に恵まれ続けただけだ」	" 그렇지 않다.내가 행운아 인 뿐이다"
　俺は上司にも部下にも恵まれ、敵にも恵まれた。別に俺が偉かった訳じゃない。	나는 상사도 부하도 풍족하고 적에도 따랐다.다르게 내가 훌륭한 것이 아니다.
　するとエレオラが溜息をつく。	그러자 엘레 내가 한숨을 쉬다.
「幸運で片づけられては、せっかく敗北を受け入れる気になった私の立場がないではないか」	"행운에서 치워져서는 모처럼 패배를 수용할 기분이 된 나의 입장이 없지 않은가"
　そう言われてもな……。	그렇게 말해도…….
　俺は少し考え、自分なりに答える。	나는 조금 생각하고 나름대로 대답한다.
「もし俺と貴殿に違いがあったとすれば、俺は彼らの社会に間借りさせてもらうつもりでいたことだ。征服者として来た貴殿とは違う」	"혹시 나랑 당신에 차이가 있었다면 나는 그들의 사회에 세 들고 준비를 하는 것이다.정복자로서 온 당신과 달리"
　その言葉に、エレオラは少し驚いたようだった。	그 말에 에레 오라는 좀 놀란 모양이었다.
　だがすぐに小さくうなずく。	하지만 바로 잘게 고개를 끄덕였다.
「なるほどな……そういうものか」	" 그렇구나..그런 것?"
　最初は力ずくだったが、そこから先は恨まれたり嫌われたりしないよう、あれこれと気を配って大変だったんだからな。	처음에는 힘이었지만, 거기서부터 더는 원망하거나 싫어하지 않도록 이것 저것 배려해서 힘들었다는 거니까.
　エレオラはさらに俺に近づいた。互いの呼気が感じられるほどの距離だ。	에레 내가 더 나에게 다가갔다.서로의 호흡이 느껴질 정도의 거리이다.
「つまるところ、やはり器の違いだったということだ。良い教訓になった」	"결국 역시 그릇 차이였던 것이다.좋은 교훈이 되었다"
　そして彼女は笑う。	그리고 그녀는 웃는다.
　穏やかな、そして少し寂しそうな笑顔で。	온화한, 그리고 조금 쓸쓸한 듯한 미소로.
「だがいささか疲れてしまったよ、黒狼卿」	"이지만 약간 지쳤어, 검정 랑경"
　その言葉が終わる前に、俺とエレオラは炎の渦に包まれた。魔法による炎だ。	그 말이 끝나기 전에 내가 에레 오라는 불꽃의 소용돌이에 휩싸였다.마법의 불꽃이다.
　紅蓮の花が咲く灼熱地獄の中で、エレオラ皇女が笑っている。	새빨간 꽃이 피는 작열 지옥 속에서 에레오란 왕녀가 웃고 있다.
　とてもいい笑顔だ。全ての重圧から解放された笑顔だった。	아주 좋은 웃음이다.모든 중압에서 해방된 웃었다.
「私は破壊術師でな。自滅覚悟なら、これぐらいはできるのだよ。冥府までつきあってもらうぞ」	"나는 파괴사든. 자멸 각오라면 이 정도는 할 것이야.저승까지 사귀는 거야"
　冗談じゃない。	농담하나.
　だがこの炎、俺にも普通に熱い。	하지만 이 불길, 나도 평범하게 뜨겁다.
　そりゃそうだ。破壊魔法で引き起こされたあらゆる現象は、発生後は通常の物理法則に従う。	그건 그래파괴 마법으로 야기된 모든 현상은 발생 후에는 통상적인 물리 법칙에 따른다.
　つまりこれも普通の炎と何も変わらない。	즉 이것도 보통의 불꽃이 아무것도 바뀌지 않는다.
　俺は魔力を吸収できるが、師匠と違って熱は吸収できないようだ。これはまずいぞ。	나는 마력을 흡수할 수 있지만, 스승과 달리 열은 흡수할 수 없는 것 같다.이는 맛이 없겠다.
　エレオラ皇女は満足そうに微笑みながら意識を失い、その場に崩れ落ちた。	에레 오라 왕녀는 행복하게 웃으면서 의식을 잃고 그 자리에 푹 쓰러졌다.
　相変わらずムチャクチャするな、このお姫様は。	여전히 천방지축 하지 마라, 이 공주는.
　いや、あきれてる場合じゃない。何とかしないと俺も死ぬ。俺は炎を消すのに役立つ魔法は使えない。	아니 기가 막히는 때가 아니다.뭐라던가 하지 않으면 나도 죽는다.나는 불길을 끄기에 도움이 되는 마법은 쓸 수 없다.
　炎は竜巻のように渦を巻きながら、壁となって俺を阻む。外がどうなっているか、全くわからない。飛び込むのは無謀だ。	불길이 회오리처럼 소용돌이 치면서 벽이 되고 나를 막는다.밖이 어떻게 되어 있는지 전혀 모른다.뛰어드는 것은 무모하다.
