KR	JP
비명이 끊어지면서 타천좌는 쓰러졌다.	悲鳴が切れて他薦座は倒れた。 
피가 흘렀다.	血が流れていた。 
핏물이 흘러 또 다른 아카시아 꽃잎을 물들였다. 한잎의 하양이 한점의 빨강에 물드는 것을 내려다보며, 나는 천천히 입을 열었다.	血が流れ、また他のアカシアの花びらを染めた。 一葉の白が一点の赤に染まることを見下ろしながら、わたしはおもむろに口を開いた。 
“백귀여, 되살아나라.”	"百鬼よ、復活しなさい。" 
꿈틀!	五分の魂! 
나의 그림자가 요동쳤다.	私の影が乱高下した。 
그저 평평할 뿐인 그림자에서 새까만 손이 치솟았다. 지옥의 구덩이에서 빠져나오는 것 같은 그 손은, 이상하게도, 이 지옥에서 탈출하기 싫다는 듯 저항했다. 하지만 쓸데없는 발악이었다.	ただ平らにするだけの影で真っ黒な手が急騰した。 地獄の穴から出てくるようなその手は,不思議に、この地獄から脱出したくないというように抵抗した。 しかし、余計なあがきだった。 
“일어서.”	"立ち上がって。" 
그림자는 나의 명령에 반항하지 못했다. 그늘에서 머리를 뱉었다. 가슴을 뱉었다. 허리가 뱉어지고 다리가 뱉어졌다.	影は私の命令に反抗しなかった。 陰で頭を吐いた。 胸を吐いた。 腰が吐いてきて足が吐いてきた。 
“이··· 흑, 아··· 아아···."	"この・・・黒、あ・・・ああ・・・。" 
그것은 갓 태어난 영양 새끼처럼 팔다리가 후들후들 떨렸다. 아무리 다 자란 성인의 몸뚱어리를 갖추었다해도, 그것은 이제야 비로소 태어난 목숨에 불과했다.	それは生まれたばかりの栄養の子のように手足が震えた。 いくら全部育った成人のモムトゥンオリを備えたとしても、それは、ようやく生まれた命に過ぎなかった。 
그리고.	そして。 
"에스델은 네가 빼앗은 이름에 지나지 않아. 네가 가져도 되는 이름이 아니다."	"エスデルは君が奪った名前に過ぎない。君が持ってもいい名前ではない。" 
이 세상에 목숨을 탄생시킨 자에겐 언제나 책임이 있다.	この世の中に命を誕生させた者にはいつも責任がある。 
그 책임의 첫 번째란, 내가 짊어진 생명한테 이름을 지어주는 것.	その責任の最初のとは、私が背負った生命に名前を建設してあげる。 
“아귀.”	"餓鬼" 
긴 머리카락을 흘리며 그것이 나를 올려보았다.	長い髪を流しながらそれが私を上げてみた。 
“이제부터 너의 이름은 아귀다.”	"これからあなたの名前は餓鬼だ。" 
“너는 나를 주인으로 모시고, 살아라.”	"お前は私を主人公に仕えて、生きろ。" 
일찍이 에스델이라 불렸고.	かつてエスデルと呼ばれたし。 
변방의 성녀로 칭송받았으며.	辺境の聖女として讃えられており、。 
가을비의 마왕이라 경외 받은 이가 어깨를 떨었다.	秋雨の魔王と畏敬受けた者が肩を震わせた。 
“예······."	"はい・・・・・・。" 
그 어떤 이름도 가질 자격이 없었던 자는, 비로소 내게 이름을 받아서, 머리를 수그렸다. 아카시아에서 하얀 꽃잎이 떨어져 그것의 머리카락에 묻었다.	そのどんな名前も持つ資格がなかった者は、やがて内に名前をもらって、頭を垂れた。 アカシアで、白い花びらが落ちてそれの髪の毛に埋めた。 
“명령에 따르겠습니다······."	"命令に従います・・・・・・。" 
약속한 5일의 마지막 날.	約束した5日の最後の日。 
"······저의 주군이여."	"・・・・・・私の主君よ。" 
사왕과 마왕.	サワンと魔王。 
두 명의 왕 중에서 하나가 낙화(落花)했다.	2人の王の中で一つが落花(落花)した。 
47화.  < 세계를 상대하는 방법. (1) >	47話。 <世界を相対する方法。 (1)> 
=========================	========================= 
1	1
그렇게 하나의 왕과 그 신하가 남은 자리에서, 입을 연 것은 둘 중의 누구도 아니었다.	そんなに一つの王とその臣下が残った席で、口を開いたのは二つのうちの誰もなかった。 
-굳이 말하자면, 왕도 신하도 아닌 ‘제왕’이 준엄하게 입을 열었던 것이다···.	-敢えて言えば、王道臣下でもない'帝王'が峻厳に口を開いたのだ・・・。 
“···검제 양반, 이런 순간에조차 꼭 ‘검제’해야겠습니까?”	"・・・ゴムジェの両班、このような瞬間でさえ、必ず'ゴムジェ'しヤゲッスプニカ。 " 
하여간 분위기 초 치는 데에는 일가견이 있는 양반이었다.	とにかく雰囲気味つけしには長けている両班だった。 
그 양반은 꽈배기처럼 몸을 비틀면서 괴로워했다.	その人はクルーラーのように身をよじりながら苦しんだ。 
-응··· 해야겠다··· 아니 나도 하기 싫은데··· 솔직히 니들한테서 되도록 떨어져서 막 모르는 사람인 척하고 싶은 그 마음 굴뚝같기 그지없는데, 아우, 이걸 나밖에 말할 사람이 없어 가지고.	ーん・・・しなければならない・・・いや私もしたくないのに・・・正直ニードルからできるだけ離れてばかり知らない人のふりをしたいその心だことこの上ないが、弟、これを私しか言う人がいなくて持って。 
“아, 뭔 말을 하시게요.”	"あ、どういうことをし気です。" 
-니들 뭐하냐?	-ニードル、何やってるか 
뭔 소리야 싶었는데, 아마 그게 검제가 하고 싶었다는 말인 모양이다.	何言ってんのたいのに、多分それがゴムジェがしてみたいという言葉のようだ。 
“뭐하냐뇨? 보다시피······	"ムォハニャニョ。 ご覧のとおり、・・・・・・ 
-그래. 마왕을 죽이고, 어? 니 스킬로 살렸어. 이름도 막 붙여주고······ 아 씨, 그 이름이란 것도. 여자애한테 이름이 아귀가 뭐냐?	そう。 魔王を殺し、え? 君のスキルで生かした。 名前もちょうどつけてくれて・・・・・・あ氏、その名前と言うことも。 女の子に名前は、アンコウが何だ? 
기왕 아귀라고 붙일 거면 초롱아귀라고 붙이고 초롱아 이러면 부를 때마다 좀 더 귀엽고 그러지 않겠냐?	どうせアンコウと付けるんたら提灯、アンコウとつけてチョロンちゃん、そうすれば、歌うたびにもっと可愛くてそうでないかよ? 
“하다못해 이제는 이름 갖고 시비 거는 거예요?”	"せめて今は名前持って喧嘩売ってるんですか。 " 
-아니, 이름은 됐다 치고. 그 다음 꺼······ 왜 갑자기 주종관계 맺고 앉아있냐 너희?	-いや、名前はなったとして。 その後消して・・・・・・なぜ急に主従関係結んで座っているかあなた? 
검제는 천하의 희한한 것들을 본다는 듯 나와 아귀를 훑어보았다.	ゴムジェは天下の不思議なことを見るというように出て、アンコウを走り読みした。 
-니들이 막, 무슨 유대관계가 있다고······ 아니 그래! 좀비 너한테야 있다고 치자. 네 말마따나 네가 잡은 사냥감이니까, 응? 넌 나의 노예 아이갓츄~ 언더마이스킨 뭐 이런 니네 세계 옛날 유행가 같은 걸 할 권리가 있다고 칠 수도 있겠지.	-ニードルがちょうど、何の関係があると・・・・・・いやそう! ゾンビ君にはありえるとしよう。 お前が言うようにお前が捕らえた獲物だから、うん? あなたは私の奴隷アイガッチュ~アンダー・マイ・スキンなんかこのような君らの世界昔の流行歌のようなことをする権利があるとすることもできあるだろう。 
“검제 양반 유행가도 들어요?”	"ゴムジェ、両班、流行歌も入りましたか。 " 
-마르쿠스 그 영감 취미 중 하나가······ 아니 됐고. 그래서 넌 그런다 치는데, 쟤는 왜 예스 마이 로드 하고 있는지 영 이해가 안 되네.	-マルクス・その霊感の趣味中一つが・・・・・・いや、いました。 それで君はそうで言うが、あの子はなぜイエスマイロードしているのか全く理解できないね。 
검성의 취미 중 하나를 알게 되는 순간이었다.	剣聖の趣味の一つを分かるようになる瞬間だった。 
가능하다면 알지 못했다면 좋았을 취미였지만··· 그건 중요한 게 아니고.	可能たら、分からなかったらよかった趣味だったが・・・それは重要なのではなく、。 
흐음.	ふぅん。 
“그러니까 아귀가 왜 저를 주군으로 모시겠다는 건지 모르겠다 이거죠?”	"だから餓鬼がなぜ私を主君に尽くすのか分からないことですか。 " 
-응. 좀비야? 네가 쟤한테 한 짓들을 하나하나 객관적으로 나열해볼게.	ーん。 ゾンビ? 君があの子にしたことを一つ一つ客観的に羅列してみる。 
나는 고개를 끄덕였다.	私はうなずいた。 
-쟤 앞길 틀어막고 헤헤헤 못 가를 시전하셨지?	-あの子の将来せき止め、ヘヘヘ分けられない市した。 
“그렇게 시작했죠.”	"そんなに始めました。" 
-쟤가 쌓아온 모든 것들을 하나하나 지워버렸지? 나중가서는 팩폭으로 멘탈까지 깨버리셨고.	-あの子が積んできたすべてのものを一つ一つ消してしまったの? 後行ってはペクポクにメンタルまで破った。 
“그렇게 전개됐죠.”	"そんなに展開されました。" 
-그러고는 아예 모가지를 따버리셨어. 어후, 안 나오겠다고, 싫다고 버티는 애를 억지로 백귀환생인지 뭐시기인지로 세상에 끄집어낸 건 화룡점정이고.	-そんなては、首をタボリショッオ。 午後、出ないと、嫌だと言い張っている子を無理にベクグィフヮン生かモシギ認知で世の中に引っぱり出したのは画竜点蕭で。 
“그렇게 결말났네요.”	"そうような結末になるましたね。" 
검제가 혀를 내둘렀다.	ゴムジェが舌を巻いた。 
-하, 진짜 동정심도 없는 새끼. 니 심장의 동맥들은 다 살무사로 되어있냐?	-下、本当に同情心もない子。 おまえの心臓の動脈はすべて蝮になっているか? 
“코브라도 섞여 있을지 모르죠. 왜인지 빼먹으셨지만 ‘검사조차 아닌 자의 결말을 보여주라’는 누구 씨 말을 따라서 검도 깨버렸잖슴까.”	"コブラも混じっているかも知れません。 なぜか自分の懐に入れてウショッジマン'検査さえない者の結末を見せてくれと'は誰さんの言うに沿って剣道破らㅆジャンスムカ。" 
-그것은 필요한 일이었고 해야만 하는 일이었으며 저 아귀 역시 내심으로는 깊이 감사하고 있을 것이다. 그곳에 검사이고자 하는 불씨가 남아 있다면 말이지.	それは必要な事でしなければならないことであり、あのアンコウも内心では深く感謝しているのだ。 そこに検査たろうとする火種が残っていればのことだ。 
검제가 엄숙하게 말했다.	ゴムジェがおごそかに話した。 
나는 이 귀신이 지랄만 잘 하는 줄 알았는데 이제 보니 개소리도 수준급이었네?	私はこの妖怪が馬鹿な真似だけうまくやれと思ってましたが、から馬鹿な話も水準級だったな? 
-아무튼 그러니 난 쟤가 너한테 원한과 분노를 쏟아내야 마땅하지 않을까 싶은데. 쟨 대체 왜 넙죽 엎드려서 목 늘어뜨리고는 명을 내리소서 이러고 앉아있다냐? 하나의 세계를 집어삼킨 재앙이 알고 보니 희대의 마조히스트였냐?	-とにかくだから私はあの子が君に恨みと怒りを入れてこそ、当然ではないかと思うのだが、。 ジェン一体何故ひれふして首垂らしては命を下したまえこうして座っているだか? 一つの世界をのみ込むな災いが知ってみると、希代のマゾヒストヨッニャ。 
“우와아······"	"うわァ・・・・・・" 
검제는 우리로부터 멀어지고 싶다고 말했었지만, 나야말로 검제로부터 한 걸음 떨어졌다.	ゴムジェは私たちから離れたいと話していましたが、私こそゴムジェから一歩離れた。 
정말이지 저 고릴라의 발상 수준이란···.	ほんとはあたしゴリラの発想水準なんて・・・。 
“검제 양반··· 아귀가 주저 없이 저한테 복종하기로 한 건 말이에요.”	"ゴムジェ、両班・・・アンコウが躊躇なく私に服従することにしたのは言葉です。" 
-이유는?	-理由は? 
“아귀는 알고 있기 때문입니다.”	"アンコウは知っているためです。" 
나는 아귀를 흘겨보았다.	私は腰を睥睨た。 
“검제 양반도 곧 알게 될 걸 말이죠.”	"ゴムジェのあんたもすぐ分かるようになることを言葉です。" 
아카시아 숲길에 울음소리가 흘렀다.	アカシアの森の道に泣き声が流れた。 
“흐윽··· 아··· 흑······.”	"ふうっ・・・あ・・・黒・・・・・・。" 
아귀(飯鬼)가 울고 있었다. 분하고 슬픈 눈물. 장절한 절규가 방울로 맺혀서 뚝, 뚝, 떨어졌다.	アグィ(飯鬼)が泣いていた。 悔しくて悲しい涙。 壮絶な絶叫が滴でくすぶって大きく、パッタリと、離れた。 
그렇다.	そうだ。 
아귀는 잘 알고 있었다.	アンコウはよく知っていた。 
[20층에서 마왕의 존재를 탐색.]	[20階で魔王の存在を探索。] 
이제부터 어떤 비극이 벌어질 것인지.	これからどのような悲劇が起こるのか。 
[ 발견 불가.]	[発見不可。] 
아귀의 어깨가 움찔, 경련했다.	アンコウの肩がひくん、痙攣を起こした。 
[마왕의 부재를 확인.]	[魔王の不在を確認。] 
솨아아아!	スヮアアア! 
사방에서 빛방울이 솟아올랐다. 길바닥에서 솟아 나왔고 아카시아 나무에서 흘러나왔다. 20층 스테이지는 어차피 작은 세상이어서, 금세 빛무리에 둘러싸였다.	四方から光の玉が打ち上げられた。 道端で湧き出し、アカシア木で聞こえた。 20階ステージはどうせ小さな世界であり、すぐに光の群れに囲まれた。 
하얀빛 한복판.	白い光の真ん中。 
“안 돼···, 제발. 안 돼요···.”	"だめ・・・、どうか。 いけません・・・。" 
아귀는 덜덜 떨면서 신음했다. 하지만 무슨 소용이 있을까? 그녀의 신음은 삶에 대한 변명이 될 수 있을지언정, 죄에 대한 항변이 될 수는 없었다.	アンコウはぶるぶる震えながら呻吟した。 しかし、何の意味があるだろうか。 彼女のうめき声は、人生に対する言い訳もなりえる、罪に対する抗弁がなり得なかった。 
[역사개변.]	歴史改変。] 
하늘은 엄숙한 목소리를 내렸다.	空は厳粛な声を下した。 
어리석은 죄인에게 선고를 고하는 법정처럼.	愚かな罪人に、判決を告げる法廷のように。 
[20층 스테이지를 개정합니다.]	[20階ステージを改正します。] 
서서히.	徐々に。 
예정되어 있던 역사가 되풀이되기 시작했다.	予定されていた歴史が繰り返され始めた。 
“아···.”	"あ・・・。" 
아귀가 눈물 젖은 얼굴로 먼 곳을 쳐다보았다. 아카시아 숲길의 초입으로 무언가가 다가왔다.	アンコウが涙に濡れた顔で遠くを眺めた。 アカシアの林道の入り口で何かが近づいてきた。 
철컥! 철커덕!	がちゃり! がちゃりと! 
그것들이 걸음을 내디딜 때마다, 갑옷과 투구가 사납게 울었다. 그 위로는 각양각색으로 칠해진 깃발이 휘날렸다.	それらが一歩を踏み出すたびに、鎧や兜が激しく泣いた。 その上は色とりどりに塗られた旗が翻った。 
“제발···.”	"どうか・・・。" 
수많은 군기(軍旗).	数多くの軍紀(軍旗)。 
군화와 발굽과 날개짓소리.	軍靴と蹄と羽ばたきの音。 
“또, 마을이 불타버려···. 불타버리고 말아···.”	"また、村が燃えてしまって・・・。 焼失してな・・・。" 
역사를 원래대로 되돌리기 위해서.	歴史を元通りに戻すために。 
낙원을 불태우기 위해서.	楽園を燃やすために。 
지금, 세계 각지에서 파견된 연합군이 아카시아 숲길에 들어선 것이다.	今、世界各地から派遣された連合軍がアカシアの森の道に入っていた。 
“안 돼, 제발······ 읏, 아아······."	"ならず、どうか・・・・・・っゃ、ああ・・・・・・。" 
아귀가 길바닥에 주저앉아 웅크렸다.	アンコウが道に座り込んで丸くした。 
웅크린 머리와 조아린 손끝이 향한 곳에 바로 내가 있었다.	うずくまった頭と下げた指先が向けられたところに私がいた。 
“주군이시여······."	"主君さま・・・・・・。" 
검제가 말한 것처럼 아귀에게 나는 씹어 먹어도 시원치 않을 철천지원수일 것이다.	ゴムジェが言ったように、アンコウに私は噛んで食べても芳しくないを不倶戴天の敵だろう。 
그런 내게 깊이 절을 올린다는 것은, 그야말로 심장이 터질 만큼 분하고 원통하겠지 .	そんな私に深くお辞儀を引き上げるというのは、それこそ心臓がはち切れるほど悔しくて無念だろう。 
“저의, 주군이시여······!”	"私の、主君さま・・・・・・! " 
하지만 그녀는 그렇게 했다.	しかし、彼女はそうした。 
해야만 했다.	しなければならなかった。 
“원한을 품지 않겠습니다······ 복수하지 않겠습니다······."	"恨みを抱いていません・・・・・・ 復讐しません・・・・・・。" 
나의 권속이 되는 것을 받아들이고 주군으로 삼는 것 외에 아귀에게는 선택지가 없었다.	私の眷属になることを受け入れて主君にすることのほかには、アンコウには選択肢がなかった。 
힘없는 사람이 지켜야만 하는 것을 가졌을 때, 사람은 아귀가 되어 어떤 굴욕이든 씹어 삼킬 수 있게 되는 것이었다.	力のない人が守らなければならないものを持った時、人はアンコウになってどのような屈辱でもかんで飲み込むのだった。 
“명하시면 뭐든지 하겠습니다, 따르겠습니다······ 시녀가, 노예가 되겠습니다······ 저는 어떻게 되어도 상관없으니까, 그러니까 제발,”	"命じたら何でもします、従います・・・・・・侍女が、奴隷になります・・・・・・ 私はどうなっても構わないから、だから、" 
사람은 엎드려 빌었고.	人は伏せて祈ったし。 
“제발, 저의 마을을······.”	"どうか、私の村を・・・・・・。" 
“그래.”	"そう。" 
나는.	私は。 
“그러마.”	"そうよ。" 
길게 말하지 말았다.	長いこと言わないでしまった。 
걸음을, 떼었다.	歩みを、切った。 
그 걸음에 이끌려, 검제가 따라왔다. 방금까지 우스꽝스러운 표정으로 나와 아귀를 놀려대던 그는, 어느덧 태산보다 무거운 표정을 짓고 있었다.	その歩みに惹かれるので、ゴムジェがついてきた。 さっきまでこっけいな表情で出て、アンコウをからかっていた彼は,いつのまにか泰山より重い表情を浮かべていた。 
-과연, 그런 거였군.	-なるほど、そんなことだったんだ。 
“예, 그런 겁니다.”	"はい、こんなところです。" 
저벅.	ジョボク。 
-신하는 군주를 따를 의무가 있고.	-臣は君主に従う義務があり、。 
“주군은 자기 사람을 보호할 책임이 있죠.”	"殿様は自分の人を保護する責任があります。" 
저벅.	ジョボク。 
-비꼬아서 미안하다.	-皮肉ってすまない。 
“내기에도 지셨었죠? 그 대가나 생각해두십쇼.”	"出すことにも負けれましたか。 その見返りや考えておいてください。" 
나는 걸어서, 내 사람 너머에 섰다.	私は歩いて、私の人の向こうに立った。 
숨을 들이마시고, 목청에 오러를 실었다.	息を飲んで、声にきにを掲載した。 
외쳤다.	叫んだ。 
“전군 정지!”	"全軍停止。 " 
투명한 거인이 주먹을 휘두른 것처럼 아카시아 꽃잎이 흩날렸다.	透明な巨人が暴力を振るったように、アカシアの花が舞った。 
비룡의 날개짓 소리가, 갑옷의 절그럭거림이 멎었다. 말발굽 소리가, 창칼의 철컹임이 멈추었다.	飛龍の羽ばたきの音が、鎧のかちゃかちゃと鳴ったことが止まった。 馬の蹄の音が、小刀のチョルコンイさが止まった。 
나는.	私は。 
아카시아의 외길에 서 있었다.	アカシアの道に立っていた。 
나와 군단 사이에는 꽃잎밖에 없었다.	出て軍団の間には花びらしかなかった。 
2	2
꽃잎은 흩날릴 적에 소리가 없었다. 그래서 꽃잎이 세상을 뒤덮으면, 세상은 그저 녹아내리듯 잠드는 것 같았다.	花びらは舞う時に声がなかった。 それで花びらが世を覆ったら、世の中はただ溶けて降るように眠るようだった。 
그러나 가지를 떠난 꽃잎은 결국 바닥에 떨어지는 법이다.	しかし、枝を離れた花びらは結局、床に落ちることだ。 
바다 빛깔을 띤 갑주를 빈틈없이 차려입고, 흉판에 태양의 인장을 새긴 아이김 제국의 사령관이 앞으로 나섰다.	海の色を帯びた甲冑を徹底的に着飾って、ヒュンパンに太陽の印章を刻んだ子供、金帝国の司令官が前に進み出た。 
그가 누구인지 나는 알고 있었다.	彼がだれだか私は知っていた。 
“나는 사르바스 아이김 장군이다! 웬 놈이 감히 앞길을 막아섰느냐!”	"私はサルバス子供金将軍だ! 見知らぬやつがあえて前途を阻止したのか! " 
그리고 물론, 내가 누구인지 그는 모르고 있었다.	そしてもちろん、私が誰か彼は知らなかった。 
음.	えーと。 
“글쎄···.’’	"さあ・・・。’’ 
몇백의 괴물을, 몇천의 좀비를 상대로 싸웠다. 아귀가 전성기의 마왕이던 시절 그 시선을 정면으로도 받아보았다.	数百の怪物を、数千のゾンビを相手に戦った。 アンコウが全盛期の魔王だった時代その視線を正面からもダウンロードした。 
흉흉한 기세를 나만큼 많이 경험해본 사람도 없을 것이다.	動揺した勢いを私ほどたくさん経験して見た人もいないだろう。 
그럼에도 나는 호흡을 한 차례 골라야 했다.	それでも私は呼吸を一度選ばなければならなかった。 
나는 칼자루를 쥐었다.	私は、柄を握った。 
“댁들이야말로 이런 깡촌에 무슨 볼일이요?”	"お宅らこそ、このようなの田舎町に何の用事ですか? " 
“황제 폐하의 뜻이다!”	"皇帝陛下の意味だ! " 
사르바스 아이김 장군이 우렁차게 대꾸했다.	サルバス子供金将軍が声高に答えた。 
우오오오! 한 부대에 이르는 병졸들이 창을 흔들며 호응했다. 숲에서는 더 이상의 꽃잎이 떨어지는 대신 새들이 퍼드득 도망쳤다.	ウオオオ! 一つの部隊に上る兵卒たちが窓を振りながら呼応した。 森ではこれ以上の花びらが落ちる代わりに鳥たちがポドゥドゥク逃げた。 
"이곳에 대륙의 선한 백성들을 선동한 마녀가 있다 들었노라! 어리석게도 마녀의 꾀임에 넘어가 스스로 악(惡)의 구렁텅이에 빠진 괴물들마저 있다니, 어찌 두고 볼 수 있겠는가!”	"ここに大陸の善良な民を扇動した魔女がいたとオッノラ! 愚かにも魔女の話にだまされ、自ら、悪のどん底に陥った怪物たちさえあるなんて、どうしておいて見ることができようか!" 
“그래서?”	"それで? " 
“성스러운 불로 정화하리라!”	"聖なる炎で浄化すると! " 
나는 말없이 ‘미니맵’의 파란 점들을 바라보았다.	私は黙って'ミニマップ'の青い点を眺めた。 
“비단 황제 폐하만의 뜻이 아니도다!”	"絹の皇帝陛下だけの意味ではないかな! " 
파란 점은 하나가 아니었다. 수백. 수천. 지도 한켠이 파란 점들로 가득 차 있었다. 그러고도 끝나지 않아서, 푸른 물결은 끊임없이 여기로 몰려들었다.	青い点は一つではなかった。 数百 数千。 指導の片隅が、青い点でいっぱいだった。 それでも終わってないので、青い波は絶えずここに押し寄せた。 
나는 그들이 누구인지 알고 있었다.	私は彼らが誰か知っていた。 
“교황 성하께서 말씀하시길, 감히 성녀라 자신을 참칭하는 이단자를 벌하라 하였으메!”	"教皇盛夏がおっしゃるには、あえて聖女と自分を僭称する異端者を罰しなさいハヨッウメ! " 
13층에서 구원한 신전의 성기사들.	13階で救援した神殿の聖騎士たち。 
“숲의 군주께서 당부하신 일이니, 모든 정령이 우리의 앞길을 축복할 진저!”	"森の君主が要請なさったことだから、すべての精霊が我々の前途を祝福するジンジャー! " 
14층에서 구원한 숲의 엘프들.	14階で救援した森のエルフたち。 
“인어의 현왕께서 나눠주신 보옥이 우리의 집행을 인정하며!”	"人魚のヒョンワンが分けてくださった宝玉が私たちの執行を認め、! " 
15층에서 구원한 폭포의 마법사들.	15階で救援した滝の魔術師。 
"명예로운 약조를 지키기 위해 태고의 화산으로부터 용기병들이 출전하였으니!”	"名誉な約条を守るため、太古の火山から竜騎兵たちが出場したので、!" 
16층에서 구원한 화산의 전사들.	16階で救援した火山の戦士たち。 
“저 자유도시 연맹의 상인들과, 들판의 기수들과, 또한 모든 속국의 병사들이 함께하기로 하였으므로!”	"あの自由都市連盟の商人たちと、野原の騎手と、また、全ての属国の兵士たちが一緒にすることにしたので! " 
17층의 무장상단, 18층의 유목민족, 19층의 작은 나라들과 그보다 더 조그마한 영지의 병사들.	17階の武装、上段、18階の遊牧民族、19階の小さな国とそれよりもっと小さな領地の兵士たち。 
“우리의 징벌에 모든 세계가 함께하는 것이다!”	"私たちの懲罰に世界のすべてが一緒に行うものだ! " 
11층에서 19층.	11階で19階。 
내가 밟았고, 내가 올라섰으며, 내가 구원한 곳들.	私が踏み、私が上がり、私が救援したところ。 
그 무대의 주역들이 적게는 수십 명에서 많게는 수백 명까지, 제각각 깃발들을 흔들며 몰려든 것이었다.	その舞台の主役たちが少なくとも数十人から多くは数百人まで、それぞれ旗を振りながら集まったものだった。 
"······."	"・・・・・・。" 
나는 그들 모두를 알았으며, 그들 모두가 나를 몰랐다. 사르바스 아이김이 그러했듯이.	私は彼ら全員を知り、彼らみんなが私を知らなかった。 サルバス子供、金がそうだったように、。 
“다시 한 번 묻겠다!”	"もう一度問う! " 
사르바스 아이김이 외쳤다.	サルバス子供、金が叫んだ。 
“우리의 임무를 방해하는 그대는 누구인가!”	"私たちの任務を妨害するあなたは誰か! " 
나는 나의 임무창을 보았다.	私は私のイムムチャンを見た。 
*	* 
[멈추어진 세계의 용사]	止めになった世界の勇士] 
난이도: 불명(不明)	難易度:不明(不明) 
임무 목표: 당신은 결심했습니다. 단 한 명의 희생자도 용납하지 않겠다고.	任務の目標:あなたは決心しました。 たった一人の犠牲者も容認しないと。 
자신이 구한 자에게 대가를 바라지 않는 것을 정의라 말합니다. 자신이 구한 자에게 인정을 바라지 않는 것을 헌신이라 말합니다. 정의에 헌신하는 자를 용사라 말합니다.	自分が救った者に見返りを望まないことを定義と言います。 自分が救った者に情けを望まないことを献身と呼びます。 定義に献身する者を勇士と言います。 
용사여!	勇士よ! 
대륙의 인간들은 당신의 정의를 알지 못할 것입니다. 당신의 헌신을 깨닫지 못할 것입니다. 그러나 여전히 정의는 정의로 남으며, 헌신은 헌신으로 남습니다. 그대는 멈추어진 세계에서도 계속해서 용사이길 선택하겠습니까?	大陸の人間たちはあなたの定義を知らないでしょう。。 あなたの献身を、気づかないのです。 しかし、依然として定義は定義に残り、、献身は、献身に残ります。 君は止まって負けた世界でも続けて勇士であることを選択しますか? 
이제 당신의 선택만 남았습니다.	もうあなたの選択だけが残されました。 
*	* 
물론, 내 선택은 이미 내려진 뒤였다.	もちろん、自分の選択はすでに下された後だった。 
“사르바스 아이김 장군.”	"サルバス子供金将軍。" 
사르바스 아이김이 멈칫했다.	サルバス子供、金が躊躇した。 
나는 그를 가리키며 건들거리는 어조로 말했다.	私は彼を指して、ぶらぶらした口調で話した。 
“당신, 지금 황명을 받들고 왔다고 했어?”	"あなた、今ファンミョンを支えてきたとしたの? " 
“다, 당신이라고? 이놈, 황명을 받은 장군인 내게 지금······."	"全部、あなただって? こら、ファンミョンを受けた将軍の私に今・・・・・・。" 
“허어, 이거 웃기는 사람일세. 시나리오 쓰고 앉아있어 아주. 제국의 황제가 지금 처해있는 상황은 댁만큼 잘 아는 사람이 어딨다고 황명 타령이야?”	"はあ、これ面白い人だね。 シナリオ書いて座っていてとても。 帝国の皇帝が今直面している状況はお宅ほどよく知っている人がどこにいるとファンミョンの話なの? " 
“그, 그건 어찌······."	"その、それはどう・・・・・・。" 
그야 스킬을 뺏으려고 죽었을 때 댁의 트라우마를 엿봤으니까.	そりゃスキルをそれを奪おうと死んだ時お宅のトラウマをうかがったから。 
그로인해 황자들간의 권력투쟁이 격해지고 있다는 것 또한 잘 알고 있지.	それによってファンジャ間の権力闘争が激しくなっているのもよく知っているんだ。 
12층을 구해냈을 무렵에는 황도의 시민들 틈바구니에서도 소문이 돌지 않았던가.	12階を救ったころでは桜桃の市民たちの間でもうわさが回らなかった。 
그렇게 대답하는 대신, 나는 그저 준엄한 눈길로 사르바스 아이김을 노려보았다. 선두에서 연합군을 아우르던 사르바스 아이김은 허둥거리면서 함께 하는 군주들을 훑었다.	そう答える代わりに、私はただ峻厳な目つきでサルバス子供、金をにらんだ。 先頭で連合軍をまとめたサルバス子供、金は狼狽し、共にする君主を回った。 
방금 내가 말한 것이 황실의 치부였기 때문이었지만, 그 당혹은 오래가지 않았다. 용기병장과 성기사장, 유목족장이 눈살을 찌푸렸을 뿐, 나머지는 듣지 못했다는 것처럼 눈을 흘기고 있었다.	今私が話したのが皇室の部分であるためであったが、その当惑は長続きしなかった。 勇気兵長と性器の社長、遊牧族長が眉をひそめただけで、残りは聞こえなかったというように横目でにらみつけていた。 
이 세계 최강대국의 장군은 헛기침을 하고서 눈을 부릅떴다.	この世界最強の大国の将軍はせき払いをして目を見開いた。 
“······어찌 그런 참람된 말을 하는가! 이 앞에 산다는 마녀의 손끝이더냐!”	"・・・・・・どうしてそんなチャムラムドェン話をするのか! この前に住むという魔女の手先だったのか! " 
“참람된 말? 허. 이미 정해진 태자를 폐하고 3황자를 태자 자리에 올리려는 작자가 지금 참람이란 말을 입에 담아?”	"チャムラムドェン言葉って 許。 既に定められた太子を廃して3ファンジャルル太子の地位に引き上げようとする作者が今僭上という言葉を口に留めて? " 
사르바스 아이김이 또 한 번 당혹했다. 이번 당혹은 조금 전의 그것보다 더욱 커서 장군의 표정을 흩어버릴 정도였다.	サルバス子供、金がもう一度当惑した。 今回の当惑は少し前のそれよりさらに大きく、将軍の表情をくまなくてしまうほどだった。 
